Date : 2022-02-07 15:12:47
Directory : c:\xampp\htdocs\SurgeryAndWound
Total : 1102 files,  142768 codes, 61837 comments, 25596 blanks, all 230201 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |      1,012 |    124,363 |     61,352 |     24,218 |    209,933 |
| XML        |          7 |      9,318 |         15 |         19 |      9,352 |
| CSS        |         20 |      4,864 |        282 |        722 |      5,868 |
| JSON       |         15 |      2,268 |          0 |         14 |      2,282 |
| Markdown   |         25 |      1,408 |          0 |        535 |      1,943 |
| JavaScript |         17 |        400 |        187 |         54 |        641 |
| YAML       |          5 |        146 |          0 |         32 |        178 |
| Ini        |          1 |          1 |          1 |          2 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |      1,102 |    142,768 |     61,837 |     25,596 |    230,201 |
| Not Needed                                                                                                                                            |         27 |      3,153 |        568 |        281 |      4,002 |
| Not Needed\clinic                                                                                                                                     |         27 |      3,153 |        568 |        281 |      4,002 |
| Not Needed\clinic\includes                                                                                                                            |          2 |        144 |          8 |         22 |        174 |
| Not Needed\clinic\layouts                                                                                                                             |          3 |        180 |          0 |          1 |        181 |
| admin                                                                                                                                                 |         41 |      6,197 |      1,652 |        676 |      8,525 |
| admin\includes                                                                                                                                        |          3 |        395 |         32 |         91 |        518 |
| admin\layouts                                                                                                                                         |          4 |        300 |          5 |         25 |        330 |
| admin\not_needed                                                                                                                                      |         14 |      2,236 |        555 |        206 |      2,997 |
| assets                                                                                                                                                |         40 |     14,500 |        479 |        773 |     15,752 |
| assets\css                                                                                                                                            |         19 |      4,858 |        281 |        718 |      5,857 |
| assets\css\clinic                                                                                                                                     |          4 |        249 |         13 |         48 |        310 |
| assets\fonts                                                                                                                                          |          1 |        362 |          0 |          0 |        362 |
