"filename", "language", "PHP", "Markdown", "JSON", "YAML", "XML", "CSS", "JavaScript", "Ini", "comment", "blank", "total"
"c:\xampp\htdocs\SurgeryAndWound\404.php", "PHP", -114, 0, 0, 0, 0, 0, 0, 0, -5, -23, -142
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\admin.php", "PHP", -166, 0, 0, 0, 0, 0, 0, 0, -2, -15, -183
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\announcement.php", "PHP", -105, 0, 0, 0, 0, 0, 0, 0, 0, -14, -119
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\appointment.php", "PHP", -115, 0, 0, 0, 0, 0, 0, 0, 0, -5, -120
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\clinic-register.php", "PHP", -358, 0, 0, 0, 0, 0, 0, 0, -36, -39, -433
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\doctor-add.php", "PHP", -189, 0, 0, 0, 0, 0, 0, 0, -201, -19, -409
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\doctor-list.php", "PHP", -101, 0, 0, 0, 0, 0, 0, 0, 0, -5, -106
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\doctor-view.php", "PHP", -76, 0, 0, 0, 0, 0, 0, 0, 0, -7, -83
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\forgot.php", "PHP", -81, 0, 0, 0, 0, 0, 0, 0, 0, -14, -95
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\includes\path.inc.php", "PHP", -118, 0, 0, 0, 0, 0, 0, 0, -7, -16, -141
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\includes\session.inc.php", "PHP", -26, 0, 0, 0, 0, 0, 0, 0, -1, -6, -33
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\index.php", "PHP", -233, 0, 0, 0, 0, 0, 0, 0, -2, -11, -246
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\layouts\nav_header.php", "PHP", -30, 0, 0, 0, 0, 0, 0, 0, 0, -1, -31
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\layouts\navigate.php", "PHP", -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, -68
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\layouts\widget.php", "PHP", -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, -82
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\loadAppointment.php", "PHP", -44, 0, 0, 0, 0, 0, 0, 0, -6, -4, -54
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\loadReport.php", "PHP", -58, 0, 0, 0, 0, 0, 0, 0, 0, -5, -63
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\login.php", "PHP", -84, 0, 0, 0, 0, 0, 0, 0, 0, -10, -94
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\logout.php", "PHP", -4, 0, 0, 0, 0, 0, 0, 0, -2, 0, -6
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\patient-add.php", "PHP", -99, 0, 0, 0, 0, 0, 0, 0, -221, -8, -328
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\patient-list.php", "PHP", -72, 0, 0, 0, 0, 0, 0, 0, 0, -4, -76
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\patient-view.php", "PHP", -150, 0, 0, 0, 0, 0, 0, 0, 0, -13, -163
"c:\xampp\htdocs\SurgeryAndWound\Not Needed\clinic\profile-edit.php", "PHP", -348, 0, 0, 0, 0, 0, 0, 0, -46, -33, -427
