"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\SurgeryAndWound\doctor\appointment-list.php", "PHP", 118, 0, 12, 130
"c:\xampp\htdocs\SurgeryAndWound\doctor\comment-list.php", "PHP", 109, 0, 8, 117
"c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-Iupload.php", "PHP", 75, 290, 17, 382
"c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-Iview.php", "PHP", 71, 0, 7, 78
"c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-edit-rec.php", "PHP", 209, 319, 24, 552
"c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-feedback.php", "PHP", 327, 398, 32, 757
"c:\xampp\htdocs\SurgeryAndWound\doctor\doctor-view.php", "PHP", 309, 0, 26, 335
"c:\xampp\htdocs\SurgeryAndWound\doctor\includes\2tor_conn.php", "PHP", 104, 11, 29, 144
"c:\xampp\htdocs\SurgeryAndWound\doctor\includes\path.inc.php", "PHP", 43, 2, 8, 53
"c:\xampp\htdocs\SurgeryAndWound\doctor\includes\session.inc.php", "PHP", 14, 1, 6, 21
"c:\xampp\htdocs\SurgeryAndWound\doctor\index.php", "PHP", 181, 12, 13, 206
"c:\xampp\htdocs\SurgeryAndWound\doctor\layouts\nav_header.php", "PHP", 97, 0, 10, 107
"c:\xampp\htdocs\SurgeryAndWound\doctor\layouts\navigate.php", "PHP", 57, 0, 1, 58
"c:\xampp\htdocs\SurgeryAndWound\doctor\layouts\widget.php", "PHP", 86, 0, 0, 86
"c:\xampp\htdocs\SurgeryAndWound\doctor\loadReport.php", "PHP", 50, 3, 11, 64
"c:\xampp\htdocs\SurgeryAndWound\doctor\login.php", "PHP", 48, 12, 12, 72
"c:\xampp\htdocs\SurgeryAndWound\doctor\logout.php", "PHP", 8, 0, 0, 8
"c:\xampp\htdocs\SurgeryAndWound\doctor\notification-list.php", "PHP", 108, 4, 10, 122
"c:\xampp\htdocs\SurgeryAndWound\doctor\patient-list.php", "PHP", 85, 0, 4, 89
"c:\xampp\htdocs\SurgeryAndWound\doctor\patient-view.php", "PHP", 314, 1, 27, 342
"c:\xampp\htdocs\SurgeryAndWound\doctor\profile.php", "PHP", 183, 10, 17, 210
"c:\xampp\htdocs\SurgeryAndWound\doctor\report.php", "PHP", 111, 0, 12, 123
"c:\xampp\htdocs\SurgeryAndWound\doctor\review.php", "PHP", 172, 0, 18, 190
"c:\xampp\htdocs\SurgeryAndWound\doctor\speciality.php", "PHP", 87, 199, 10, 296
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\activate.php", "PHP", 129, 1, 11, 141
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\appointment-view.php", "PHP", 393, 7, 36, 436
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\appointment.php", "PHP", 86, 0, 5, 91
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\doctor-edit.php", "PHP", 197, 188, 17, 402
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\doctor.php", "PHP", 73, 0, 5, 78
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\forgot.php", "PHP", 82, 0, 13, 95
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\index.php", "PHP", 204, 4, 7, 215
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\loadAppointment.php", "PHP", 47, 7, 3, 57
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\loadSchedule.php", "PHP", 22, 0, 6, 28
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\login.php", "PHP", 87, 0, 9, 96
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\logout.php", "PHP", 6, 2, 0, 8
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\password.php", "PHP", 90, 0, 10, 100
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\patient-list.php", "PHP", 72, 0, 4, 76
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\patient-view.php", "PHP", 376, 7, 34, 417
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\reset.php", "PHP", 121, 27, 12, 160
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\sch-edit.php", "PHP", 210, 0, 17, 227
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\sch-list.php", "PHP", 240, 0, 15, 255
"c:\xampp\htdocs\SurgeryAndWound\doctor\uneeded\treatment.php", "PHP", 173, 0, 17, 190
"c:\xampp\htdocs\SurgeryAndWound\patient\appointment-list.php", "PHP", -118, -1, -12, -131
"c:\xampp\htdocs\SurgeryAndWound\patient\includes\1ent_conn.php", "PHP", -151, -16, -31, -198
"c:\xampp\htdocs\SurgeryAndWound\patient\includes\adm_conn.php", "PHP", -90, -11, -25, -126
"c:\xampp\htdocs\SurgeryAndWound\patient\includes\path.inc.php", "PHP", -43, -2, -9, -54
"c:\xampp\htdocs\SurgeryAndWound\patient\includes\session.inc.php", "PHP", -13, -1, -6, -20
"c:\xampp\htdocs\SurgeryAndWound\patient\index.php", "PHP", -224, -3, -24, -251
"c:\xampp\htdocs\SurgeryAndWound\patient\layouts\404.php", "PHP", -124, -5, -24, -153
"c:\xampp\htdocs\SurgeryAndWound\patient\layouts\nav_header.php", "PHP", -82, 0, -5, -87
"c:\xampp\htdocs\SurgeryAndWound\patient\layouts\navigate.php", "PHP", -79, 0, 0, -79
"c:\xampp\htdocs\SurgeryAndWound\patient\layouts\widget.php", "PHP", -81, 0, -1, -82
"c:\xampp\htdocs\SurgeryAndWound\patient\login.php", "PHP", -49, -13, -19, -81
"c:\xampp\htdocs\SurgeryAndWound\patient\logout.php", "PHP", -8, 0, 0, -8
"c:\xampp\htdocs\SurgeryAndWound\patient\new\index.php", "PHP", -29, 0, -17, -46
"c:\xampp\htdocs\SurgeryAndWound\patient\new\patient-edit-rec.php", "PHP", -209, -319, -24, -552
"c:\xampp\htdocs\SurgeryAndWound\patient\notification-list.php", "PHP", -108, -4, -10, -122
"c:\xampp\htdocs\SurgeryAndWound\patient\patient-Iupload.php", "PHP", -75, -293, -17, -385
"c:\xampp\htdocs\SurgeryAndWound\patient\patient-Iview.php", "PHP", -164, 0, -14, -178
"c:\xampp\htdocs\SurgeryAndWound\patient\patient-edit-rec.php", "PHP", -209, -319, -24, -552
"c:\xampp\htdocs\SurgeryAndWound\patient\patient-edit-view.php", "PHP", -268, -351, -23, -642
"c:\xampp\htdocs\SurgeryAndWound\patient\patient-list.php", "PHP", -75, 0, -3, -78
"c:\xampp\htdocs\SurgeryAndWound\patient\patient-view.php", "PHP", -309, 0, -26, -335
"c:\xampp\htdocs\SurgeryAndWound\patient\profile.php", "PHP", -181, -39, -22, -242
"c:\xampp\htdocs\SurgeryAndWound\patient\progress-tracking.php", "PHP", -43, -2, -11, -56
"c:\xampp\htdocs\SurgeryAndWound\patient\speciality.php", "PHP", -87, -199, -10, -296
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\admin-add.php", "PHP", -102, -3, -16, -121
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\admin-upload.php", "PHP", -185, -5, -22, -212
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\admin-upload2.php", "PHP", -161, -5, -21, -187
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\admin.php", "PHP", -72, 0, -3, -75
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\doctor-add.php", "PHP", -86, -240, -6, -332
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\doctor-list.php", "PHP", -75, 0, -3, -78
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\doctor-view.php", "PHP", -309, 0, -26, -335
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\patient-Iupload2.php", "PHP", -69, -290, -16, -375
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\patient-Iview2.php", "PHP", -87, -1, -12, -100
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\patient-add.php", "PHP", -86, -240, -6, -332
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\patient-assign.php", "PHP", -144, -2, -16, -162
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\patient-assign2.php", "PHP", -123, -2, -18, -143
"c:\xampp\htdocs\SurgeryAndWound\patient\uneeded\patient-edit-view2.php", "PHP", -335, -13, -54, -402
"Total", "-", 921, -874, -41, 6
