"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\SurgeryAndWound\research team\includes\adm_conn.php", "PHP", 190, 12, 45, 247
"c:\xampp\htdocs\SurgeryAndWound\research team\includes\path.inc.php", "PHP", 124, 10, 21, 155
"c:\xampp\htdocs\SurgeryAndWound\research team\includes\session.inc.php", "PHP", 14, 1, 5, 20
"c:\xampp\htdocs\SurgeryAndWound\research team\index.php", "PHP", 106, 12, 6, 124
"c:\xampp\htdocs\SurgeryAndWound\research team\layouts\404.php", "PHP", 124, 5, 24, 153
"c:\xampp\htdocs\SurgeryAndWound\research team\layouts\nav_header.php", "PHP", 30, 0, 1, 31
"c:\xampp\htdocs\SurgeryAndWound\research team\layouts\navigate.php", "PHP", 77, 0, 0, 77
"c:\xampp\htdocs\SurgeryAndWound\research team\layouts\widget.php", "PHP", 81, 0, 1, 82
"c:\xampp\htdocs\SurgeryAndWound\research team\login.php", "PHP", 51, 11, 11, 73
"c:\xampp\htdocs\SurgeryAndWound\research team\logout.php", "PHP", 8, 0, 0, 8
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\admin-add.php", "PHP", 102, 3, 16, 121
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\admin-edit.php", "PHP", 159, 5, 17, 181
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\admin-export.php", "PHP", 112, 0, 10, 122
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\admin-export2.php", "PHP", 42, 0, 9, 51
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\admin-upload.php", "PHP", 244, 23, 34, 301
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\admin-upload2.php", "PHP", 161, 5, 21, 187
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\admin.php", "PHP", 72, 0, 3, 75
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\appointment.php", "PHP", 81, 0, 2, 83
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\clinic-add.php", "PHP", 177, 68, 23, 268
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\clinic-edit.php", "PHP", 366, 5, 35, 406
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\clinic-list.php", "PHP", 88, 0, 2, 90
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\clinic-view.php", "PHP", 146, 1, 6, 153
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\doctor-add.php", "PHP", 137, 275, 20, 432
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\doctor-list.php", "PHP", 75, 0, 3, 78
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\doctor-view.php", "PHP", 339, 0, 27, 366
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\patient-assign.php", "PHP", 144, 2, 16, 162
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\patient-assign2.php", "PHP", 123, 2, 18, 143
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\patient-list.php", "PHP", 75, 0, 3, 78
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\patient-view.php", "PHP", 339, 0, 27, 366
"c:\xampp\htdocs\SurgeryAndWound\research team\not_needed\speciality.php", "PHP", 87, 199, 10, 296
"c:\xampp\htdocs\SurgeryAndWound\research team\patient-doctor-list.php", "PHP", 91, 0, 5, 96
"c:\xampp\htdocs\SurgeryAndWound\research team\patient-doctor-view.php", "PHP", 451, 0, 37, 488
"c:\xampp\htdocs\SurgeryAndWound\research team\patient-edit-view.php", "PHP", 334, 353, 28, 715
"c:\xampp\htdocs\SurgeryAndWound\research team\profile.php", "PHP", 181, 16, 21, 218
"Total", "-", 4931, 1008, 507, 6446
